// Total transaction size : 85470
// Total number of selected UTXOs : 314

//filename //status //y //z_s //z_v //epsilon //totalSelectedUTXOs
5ad4bcf94c372215dd13d6b0.txt    Optimal   398 34      2902374      2882 2
5ad4bd964c372215dd13d6b2.txt    Optimal   364 34         1641       904 2
5ad4be974c372215dd13d6b4.txt    Optimal   660 34        12893      3745 4
5ad4bf004c372215dd13d6b5.txt    Optimal   808 34        29614      7018 5
5ad4bf7f4c372215dd13d6b6.txt    Optimal   694 34        49931     13783 4
5ad4bfd94c372215dd13d6b7.txt    Optimal   250 34      1466374      5471 1
5ad4c0d94c372215dd13d6b8.txt    Optimal   318 34     22320437      4899 1
5ad4c1be4c372215dd13d6b9.txt    Optimal   512 34        79215      2625 3
5ad4c4144c372215dd13d6bb.txt    Optimal   774  0          794       822 5
5ad4c5ad4c372215dd13d6bc.txt    Optimal   364 34        73235     40148 2
5ad4c6024c372215dd13d6bd.txt    Optimal   216 34        85483     36694 1
5ad4cb594c372215dd13d6be.txt    Optimal   512 34       235002      2067 3
5ad4cb834c372215dd13d6bf.txt    Optimal  3616 34   6287564600     13667 1
